Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 32625173.1667 433000009500076000550xxxxxx351 T 33076490.6000 23150000900006600055xxxxxxxx701350 F
1 32625173.1667 433000009500076000550xxxxxx351 T 33078785.2000 33250000700008600025xxxxx091xxx401 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32891833.8000 433000009500096000402000xxxxxx400 F
1 32625173.1667 433000009500076000550xxxxxx351 T 38819887.2000 20250000900006600080xxxxxxxx101xxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 38089475.4000 20100000650004600080xxxxxxxx301xxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 38971238.8000 402000008500056000652000xxxxxxxxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 38429374.0000 00150000850003600090xxxxxxxxxxxxxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 32669110.5000 432000002500086000550xxxxxx351 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32913654.0000 423000007500051000306000xxxxxx301 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32950745.6000 12150000750008100085xxxxxxxxxxx351 F
1 32625173.1667 433000009500076000550xxxxxx351 T 33180780.4000 23100000950006100045xxxxxxxx701351 F
1 32625173.1667 433000009500076000550xxxxxx351 T 33102417.8000 433000007000026000801000xxxxxx251 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32785774.0000 33450000750005600075xxxxx021xxx201 F
1 32625173.1667 433000009500076000550xxxxxx351 T 39133788.0000 00450000550004600040xxxxxxxxxxxxxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 38612739.4000 30450000600009600055xxxxx021xxxxxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 33198707.8000 03200000800004600095xxxxxxxxxxx200 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32647926.8750 433000008000091000252000xxxxxx351 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32876886.0000 23400000600005100070xxxxxxxx301351 F
1 32625173.1667 433000009500076000550xxxxxx351 T 41233290.2000 20250000800009100010xxxxxxxx201xxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 34275791.8000 3100750009600090xxxxx001xxx451 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32657019.6250 432500009000016000254000xxxxxx301 F
1 32625173.1667 433000009500076000550xxxxxx351 T 33373057.6000 02250000850005600020xxxxxxxxxxx350 F
1 32625173.1667 433000009500076000550xxxxxx351 T 38196290.6000 30300000900009100085xxxxx031xxxxxx F
1 32625173.1667 433000009500076000550xxxxxx351 T 33190097.6000 03300000900006100095xxxxxxxxxxx300 F
1 32625173.1667 433000009500076000550xxxxxx351 T 33685072.4000 421000007500071000851000xxxxxx301 F
1 32625173.1667 433000009500076000550xxxxxx351 T 32978878.2000 13250000600007100055xxxxxxxxxxx301 F
